student_id,year,month,absence_code_string
839643,2000,1,.....S..P....R..SR.R......S....
839643,2000,2,R..R.R.S.....R...............
839643,2000,3,...........R....R.........R..R.
839643,2000,4,.R.............S...R..R.....R.
839643,2000,5,...R.....SS...R..R.............
839643,2000,6,....R.RS.SSS...U...R...R..S...
839643,2000,7,..........R.....R.SSR..S.......
839643,2000,8,.....R..S...R.............R....
839643,2000,9,..........R.U..U.S...SR.......
839643,2000,10,R.U...........U......US..SR..R.
839643,2000,11,.........R.RR.................
839643,2001,1,.....P..R..U...............PS..
839643,2001,2,...US.R...........S.R.....S.
839643,2001,3,....S.....R..SS.R...........S..
839643,2001,4,.S.....R......P........S......
839643,2001,5,..................P.......SU.P.
839643,2001,6,.......P...S...RR........SR..P
839643,2001,7,..R.R.S.US...........U....U....
839643,2001,8,....S.P..S........R..S.RR....R.
839643,2001,9,..U.R.R...S.......P....S..R...
839643,2001,10,.....U..............RS...RR....
839643,2001,11,P......R.P.....R.S.R..........
839643,2002,1,..R..RR...R..R............R....
839643,2002,2,S...........R.....U.SR......
839643,2002,3,..RP.....U............R...R..UR
839643,2002,4,.R......U..R..................
839643,2002,5,......P.........S........R.S.RR
839643,2002,6,...S......R...PSPU.......S....
839643,2002,7,.S............U.........S.UR..R
839643,2002,8,U.U..........S..U......R...U...
839643,2002,9,..R....R......P...SS........S.
839643,2002,10,..R.R........RR...S.S........R.
839643,2002,11,....R..R......R......U....R...
839643,2003,1,..S.RR.U...P.........R...R.....
839643,2003,2,.............U.....S..R....P
839643,2003,3,........R.S..U......S....R.....
839643,2003,4,..RR..........S.R.S..R...R...R
839643,2003,5,...........S................R..
839643,2003,6,.....R..R.....SS.....S....R..R
839643,2003,7,........S.R....URR..R........R.
839643,2003,8,.U.......S.R.....R............U
839643,2003,9,..R............S...P..........
839643,2003,10,..R.....U..S..R..U.............
839643,2003,11,R...........P...P.........R...
839643,2004,1,S.U....R.U............R.....R..
839643,2004,2,R.S................R..P.R....
839643,2004,3,........R.........R.....R.R....
839643,2004,4,.......U...U...S....R...S.....
839643,2004,5,P.........U.......RR.......RS.R
839643,2004,6,R.......U......R...R..........
839643,2004,7,..P.......P.P.S..R.............
839643,2004,8,.......S............S..P.......
839643,2004,9,.R.UU.......SS.PS.......R...R.
839643,2004,10,...........P..U....R.......R...
839643,2004,11,.....R..S....SRR.........U....
839643,2005,1,..RR...............R...U.....R.
839643,2005,2,....R..........S............
839643,2005,3,...R..SU..R................P...
839643,2005,4,.......R...R...R.........R..RS
839643,2005,5,...R...SR...............S......
839643,2005,6,.S........R..R..........PR....
839643,2005,7,........US....SP......RR.P.....
839643,2005,8,.R.R...P....S...RS...R......P.R
839643,2005,9,S........SSS..S.P......R...RR.
839643,2005,10,.S....R..........R.....S.......
839643,2005,11,U...R......S..PR..R.R......S..
839643,2006,1,R..RP.............P...R..P.....
839643,2006,2,..R.P..SR...........R....R..
839643,2006,3,...R....U.....R...RS...R..S..R.
839643,2006,4,..SR....S...R..S.U..R......S..
839643,2006,5,S....P.....U.....R.......RU....
839643,2006,6,.RRU.R.R........R....R.R......
839643,2006,7,U.............P..RS..R.........
839643,2006,8,...RR....R.......RR......R.R...
839643,2006,9,..RR.S...R.SRUR.............S.
839643,2006,10,......U..R..........R....R....P
839643,2006,11,...........U.......S....R.P...
839643,2007,1,.R.P.PR....P.........R.P....R..
839643,2007,2,S......R...U....R....S....U.
839643,2007,3,.U..US..SP.......R.....U....R..
839643,2007,4,..P....S..R..............U..S.
839643,2007,5,.RR.....R....................R.
839643,2007,6,.....U..RU.........U..R...S...
839643,2007,7,......UR..RR.....R.P.R.........
839643,2007,8,.........R....SRSR....U........
839643,2007,9,.R........S.......R...R.......
839643,2007,10,...R.......SS...R..........RP..
839643,2007,11,........S..S............S.S..R
839643,2008,1,......SR.........R.............
839643,2008,2,..RP........P...R.....R...R.U
839643,2008,3,............SUR.R....R.........
839643,2008,4,....RU..............R.R....S..
839643,2008,5,.........S...R......RR..R......
839643,2008,6,.R.S....R....U.............R..
839643,2008,7,RRUU....R.......S..U.....R.SU.U
839643,2008,8,.S......P.U.........UR..S.R....
839643,2008,9,......R...U..S.S...........P..
839643,2008,10,.......P...RSSP.R....S.........
839643,2008,11,...........SU.RR.P....U.......
839643,2009,1,R...S.R.....R......R.........U.
839643,2009,2,U..R.R.......R........RS....
839643,2009,3,.....R.R.......R.....S.......RP
